pos id distance(cM) cumulative(cM) rate(cM/Mb)
15104503 sid25482 0.000239 15.083310 1.00
15104703 sid25483 0.000200 15.083510 1.00
15105031 sid25484 0.000328 15.083838 1.00
15105225 sid25485 0.000194 15.084032 1.00
15105488 sid25486 0.000263 15.084295 1.00
15105938 sid25488 0.000450 15.084745 1.00
15106179 sid25489 0.000241 15.084986 1.00
15106462 sid25490 0.000283 15.085269 1.00
15106940 sid25492 0.000478 15.085747 1.00
15107677 sid25495 0.000737 15.086484 1.00
15107878 sid25496 0.000201 15.086685 1.00
15108102 sid25497 0.000224 15.086909 1.00
15108290 sid25498 0.000188 15.087097 1.00
15108453 sid25499 0.000163 15.087260 1.00
15108766 sid25500 0.000313 15.087573 1.00
15109002 sid25501 0.000236 15.087809 1.00
15109227 sid25502 0.000225 15.088034 1.00
15109917 sid25505 0.000690 15.088724 1.00
15110608 sid25507 0.000691 15.089415 1.00
15110861 sid25508 0.000253 15.089668 1.00
15111264 sid25509 0.000403 15.090071 1.00
15111519 sid25510 0.000255 15.090326 1.00
15111730 sid25511 0.000211 15.090537 1.00
15112197 sid25513 0.000467 15.091004 1.00
15112531 sid25514 0.000334 15.091338 1.00
15112745 sid25515 0.000214 15.091552 1.00
15113223 sid25516 0.000478 15.092030 1.00
15113401 sid25517 0.000178 15.092208 1.00
15113597 sid25518 0.000196 15.092404 1.00
15114046 sid25520 0.000449 15.092853 1.00
15114492 sid25521 0.000446 15.093299 1.00
15114677 sid25522 0.000185 15.093484 1.00
15114935 sid25523 0.000258 15.093742 1.00
15115485 sid25526 0.000550 15.094292 1.00
15115667 sid25527 0.000182 15.094474 1.00
15115870 sid25528 0.000203 15.094677 1.00
15116083 sid25529 0.000213 15.094890 1.00
15116365 sid25530 0.000282 15.095172 1.00
15116548 sid25531 0.000183 15.095355 1.00
15116771 sid25532 0.000223 15.095578 1.00
15117250 sid25533 0.000479 15.096057 1.00
15117520 sid25534 0.000270 15.096327 1.00
15117739 sid25535 0.000219 15.096546 1.00
15118170 sid25537 0.000431 15.096977 1.00
15118410 sid25538 0.000240 15.097217 1.00
15118722 sid25539 0.000312 15.097529 1.00
15118862 sid25540 0.000140 15.097669 1.00
15119456 sid25543 0.000594 15.098263 1.00
15120052 sid25545 0.000596 15.098859 1.00
15120201 sid25546 0.000149 15.099008 1.00
15120416 sid25547 0.000215 15.099223 1.00
15120665 sid25548 0.000249 15.099472 1.00
15120841 sid25549 0.000176 15.099648 1.00
15121109 sid25550 0.000268 15.099916 1.00
15121311 sid25551 0.000202 15.100118 1.00
15121686 sid25552 0.000375 15.100493 1.00
15121875 sid25553 0.000189 15.100682 1.00
15122221 sid25554 0.000346 15.101028 1.00
15122491 sid25555 0.000270 15.101298 1.00
15122784 sid25556 0.000293 15.101591 1.00
15123025 sid25557 0.000241 15.101832 1.00
15123197 sid25558 0.000172 15.102004 1.00
15123432 sid25559 0.000235 15.102239 1.00
15123897 sid25561 0.000465 15.102704 1.00
15124131 sid25562 0.000234 15.102938 1.00
15124377 sid25563 0.000246 15.103184 1.00
15124694 sid25564 0.000317 15.103501 1.00
15125325 sid25566 0.000631 15.104132 1.00
15125664 sid25567 0.000339 15.104471 1.00
15125975 sid25568 0.000311 15.104782 1.00
15126204 sid25569 0.000229 15.105011 1.00
15126941 sid25572 0.000737 15.105748 1.00
15127433 sid25574 0.000492 15.106240 1.00
15127684 sid25575 0.000251 15.106491 1.00
15127952 sid25576 0.000268 15.106759 1.00
15128546 sid25577 0.000594 15.107353 1.00
15129081 sid25579 0.000535 15.107888 1.00
15129257 sid25580 0.000176 15.108064 1.00
15129470 sid25581 0.000213 15.108277 1.00
15129936 sid25583 0.000466 15.108743 1.00
15130147 sid25584 0.000211 15.108954 1.00
15130414 sid25585 0.000267 15.109221 1.00
15130645 sid25586 0.000231 15.109452 1.00
15130846 sid25587 0.000201 15.109653 1.00
15131010 sid25588 0.000164 15.109817 1.00
15131357 sid25589 0.000347 15.110164 1.00
15131513 sid25590 0.000156 15.110320 1.00
15131749 sid25591 0.000236 15.110556 1.00
15131988 sid25592 0.000239 15.110795 1.00
15132531 sid25594 0.000543 15.111338 1.00
15133002 sid25596 0.000471 15.111809 1.00
15133392 sid25598 0.000390 15.112199 1.00
15133627 sid25599 0.000235 15.112434 1.00
15134297 sid25601 0.000670 15.113104 1.00
15134491 sid25602 0.000194 15.113298 1.00
15134703 sid25603 0.000212 15.113510 1.00
15134989 sid25604 0.000286 15.113796 1.00
15135355 sid25606 0.000366 15.114162 1.00
15135585 sid25607 0.000230 15.114392 1.00
15135815 sid25608 0.000230 15.114622 1.00
15136076 sid25609 0.000261 15.114883 1.00
15136300 sid25610 0.000224 15.115107 1.00
15136532 sid25611 0.000232 15.115339 1.00
15136816 sid25612 0.000284 15.115623 1.00
15137076 sid25613 0.000260 15.115883 1.00
15137484 sid25614 0.000408 15.116291 1.00
15137709 sid25615 0.000225 15.116516 1.00
15137986 sid25616 0.000277 15.116793 1.00
15138316 sid25617 0.000330 15.117123 1.00
15138563 sid25618 0.000247 15.117370 1.00
15138979 sid25619 0.000416 15.117786 1.00
15139156 sid25620 0.000177 15.117963 1.00
15139691 sid25622 0.000535 15.118498 1.00
15139982 sid25623 0.000291 15.118789 1.00
15140383 sid25624 0.000401 15.119190 1.00
15140771 sid25625 0.000388 15.119578 1.00
15140974 sid25626 0.000203 15.119781 1.00
15141169 sid25627 0.000195 15.119976 1.00
15141394 sid25628 0.000225 15.120201 1.00
15141688 sid25629 0.000294 15.120495 1.00
15142006 sid25630 0.000318 15.120813 1.00
15142307 sid25631 0.000301 15.121114 1.00
15142808 sid25633 0.000501 15.121615 1.00
15143265 sid25635 0.000457 15.122072 1.00
15143586 sid25636 0.000321 15.122393 1.00
15143871 sid25637 0.000285 15.122678 1.00
15144085 sid25638 0.000214 15.122892 1.00
15144279 sid25639 0.000194 15.123086 1.00
15144693 sid25640 0.000414 15.123500 1.00
15144873 sid25641 0.000180 15.123680 1.00
15145359 sid25643 0.000486 15.124166 1.00
15145601 sid25644 0.000242 15.124408 1.00
15145768 sid25645 0.000167 15.124575 1.00
15157758 sid25646 0.011990 15.136565 1.00
15160002 sid25647 0.002244 15.138809 1.00
15160331 sid25648 0.000329 15.139138 1.00
15160611 sid25649 0.000280 15.139418 1.00
15162008 sid25650 0.001397 15.140815 1.00
15162409 sid25652 0.000401 15.141216 1.00
15162684 sid25653 0.000275 15.141491 1.00
15163129 sid25655 0.000445 15.141936 1.00
15163398 sid25656 0.000269 15.142205 1.00
15163694 sid25657 0.000296 15.142501 1.00
15163948 sid25658 0.000254 15.142755 1.00
15164133 sid25659 0.000185 15.142940 1.00
15164342 sid25660 0.000209 15.143149 1.00
15164613 sid25661 0.000271 15.143420 1.00
15165206 sid25663 0.000593 15.144013 1.00
15165486 sid25664 0.000280 15.144293 1.00
15165819 sid25665 0.000333 15.144626 1.00
15166074 sid25666 0.000255 15.144881 1.00
15168545 sid25667 0.002471 15.147352 1.00
15168704 sid25668 0.000159 15.147511 1.00
15168984 sid25669 0.000280 15.147791 1.00
15169205 sid25670 0.000221 15.148012 1.00
15169491 sid25671 0.000286 15.148298 1.00
15169770 sid25672 0.000279 15.148577 1.00
15170231 sid25674 0.000461 15.149038 1.00
15170420 sid25675 0.000189 15.149227 1.00
15170889 sid25676 0.000469 15.149696 1.00
15171100 sid25677 0.000211 15.149907 1.00
15171307 sid25678 0.000207 15.150114 1.00
15171514 sid25679 0.000207 15.150321 1.00
15171690 sid25680 0.000176 15.150497 1.00
15175050 sid25682 0.003360 15.153857 1.00
15175331 sid25683 0.000281 15.154138 1.00
15175712 sid25684 0.000381 15.154519 1.00
15175930 sid25685 0.000218 15.154737 1.00
15176086 sid25686 0.000156 15.154893 1.00
15176395 sid25687 0.000309 15.155202 1.00
15176662 sid25688 0.000267 15.155469 1.00
15177086 sid25689 0.000424 15.155893 1.00
15177363 sid25690 0.000277 15.156170 1.00
15177549 sid25691 0.000186 15.156356 1.00
15178063 sid25693 0.000514 15.156870 1.00
15178306 sid25694 0.000243 15.157113 1.00
15178549 sid25695 0.000243 15.157356 1.00
15178774 sid25696 0.000225 15.157581 1.00
15179058 sid25697 0.000284 15.157865 1.00
15179426 sid25698 0.000368 15.158233 1.00
15179638 sid25699 0.000212 15.158445 1.00
15179861 sid25700 0.000223 15.158668 1.00
15180313 sid25702 0.000452 15.159120 1.00
15180448 sid25703 0.000135 15.159255 1.00
15180696 sid25704 0.000248 15.159503 1.00
15180929 sid25705 0.000233 15.159736 1.00
15181198 sid25706 0.000269 15.160005 1.00
15181427 sid25707 0.000229 15.160234 1.00
15181746 sid25708 0.000319 15.160553 1.00
15181984 sid25709 0.000238 15.160791 1.00
15182313 sid25710 0.000329 15.161120 1.00
15182487 sid25711 0.000174 15.161294 1.00
15182818 sid25712 0.000331 15.161625 1.00
15183083 sid25713 0.000265 15.161890 1.00
15183289 sid25714 0.000206 15.162096 1.00
15183479 sid25715 0.000190 15.162286 1.00
15183733 sid25716 0.000254 15.162540 1.00
15183910 sid25717 0.000177 15.162717 1.00
15184235 sid25718 0.000325 15.163042 1.00
15184502 sid25719 0.000267 15.163309 1.00
15184741 sid25720 0.000239 15.163548 1.00
15184949 sid25721 0.000208 15.163756 1.00
15185188 sid25722 0.000239 15.163995 1.00
15185396 sid25723 0.000208 15.164203 1.00
15186100 sid25726 0.000704 15.164907 1.00
15186307 sid25727 0.000207 15.165114 1.00
15187089 sid25730 0.000782 15.165896 1.00
15187296 sid25731 0.000207 15.166103 1.00
15187853 sid25733 0.000557 15.166660 1.00
15188273 sid25735 0.000420 15.167080 1.00
15190230 sid25742 0.001957 15.169037 1.00
15190502 sid25743 0.000272 15.169309 1.00
15191392 sid25746 0.000890 15.170199 1.00
15191739 sid25747 0.000347 15.170546 1.00
15192383 sid25750 0.000644 15.171190 1.00
15192617 sid25751 0.000234 15.171424 1.00
15193059 sid25753 0.000442 15.171866 1.00
15193257 sid25754 0.000198 15.172064 1.00
15193740 sid25756 0.000483 15.172547 1.00
15193993 sid25757 0.000253 15.172800 1.00
15194260 sid25758 0.000267 15.173067 1.00
15194546 sid25759 0.000286 15.173353 1.00
15195168 sid25761 0.000622 15.173975 1.00
15195477 sid25762 0.000309 15.174284 1.00
15195690 sid25763 0.000213 15.174497 1.00
15195990 sid25764 0.000300 15.174797 1.00
15196223 sid25765 0.000233 15.175030 1.00
15196431 sid25766 0.000208 15.175238 1.00
15196652 sid25767 0.000221 15.175459 1.00
15197465 sid25770 0.000813 15.176272 1.00
15197770 sid25771 0.000305 15.176577 1.00
15198050 sid25772 0.000280 15.176857 1.00
15198614 sid25774 0.000564 15.177421 1.00
15198979 sid25775 0.000365 15.177786 1.00
15199354 sid25776 0.000375 15.178161 1.00
15202801 sid25777 0.003447 15.181608 1.00
15203068 sid25778 0.000267 15.181875 1.00
15203315 sid25779 0.000247 15.182122 1.00
15203832 sid25781 0.000517 15.182639 1.00
15204157 sid25782 0.000325 15.182964 1.00
15204373 sid25783 0.000216 15.183180 1.00
15204617 sid25784 0.000244 15.183424 1.00
15205013 sid25786 0.000396 15.183820 1.00
15205196 sid25787 0.000183 15.184003 1.00
15205510 sid25788 0.000314 15.184317 1.00
15206664 sid25792 0.001154 15.185471 1.00
15207003 sid25793 0.000339 15.185810 1.00
15207417 sid25794 0.000414 15.186224 1.00
15207613 sid25795 0.000196 15.186420 1.00
15207847 sid25796 0.000234 15.186654 1.00
15208002 sid25797 0.000155 15.186809 1.00
15208573 sid25799 0.000571 15.187380 1.00
15208936 sid25800 0.000363 15.187743 1.00
15209742 sid25803 0.000806 15.188549 1.00
15210135 sid25804 0.000393 15.188942 1.00
15210397 sid25805 0.000262 15.189204 1.00
15210744 sid25806 0.000347 15.189551 1.00
15211143 sid25807 0.000399 15.189950 1.00
15211434 sid25808 0.000291 15.190241 1.00
15211938 sid25810 0.000504 15.190745 1.00
15212244 sid25811 0.000306 15.191051 1.00
15212469 sid25812 0.000225 15.191276 1.00
15212678 sid25813 0.000209 15.191485 1.00
15213350 sid25815 0.000672 15.192157 1.00
15213634 sid25816 0.000284 15.192441 1.00
15213866 sid25817 0.000232 15.192673 1.00
15214127 sid25818 0.000261 15.192934 1.00
15214424 sid25819 0.000297 15.193231 1.00
15215000 sid25821 0.000576 15.193807 1.00
15215229 sid25822 0.000229 15.194036 1.00
15216057 sid25825 0.000828 15.194864 1.00
15216346 sid25826 0.000289 15.195153 1.00
15216620 sid25827 0.000274 15.195427 1.00
15216909 sid25828 0.000289 15.195716 1.00
15217364 sid25830 0.000455 15.196171 1.00
15217627 sid25831 0.000263 15.196434 1.00
15217832 sid25832 0.000205 15.196639 1.00
15218506 sid25834 0.000674 15.197313 1.00
15218889 sid25836 0.000383 15.197696 1.00
15223412 sid25837 0.004523 15.202219 1.00
15223726 sid25838 0.000314 15.202533 1.00
15224118 sid25840 0.000392 15.202925 1.00
15224354 sid25841 0.000236 15.203161 1.00
15224581 sid25842 0.000227 15.203388 1.00
15224888 sid25843 0.000307 15.203695 1.00
15225101 sid25844 0.000213 15.203908 1.00
15225437 sid25845 0.000336 15.204244 1.00
15225684 sid25846 0.000247 15.204491 1.00
15225975 sid25847 0.000291 15.204782 1.00
15226207 sid25848 0.000232 15.205014 1.00
15226417 sid25849 0.000210 15.205224 1.00
15227070 sid25851 0.000653 15.205877 1.00
15227350 sid25852 0.000280 15.206157 1.00
15227570 sid25853 0.000220 15.206377 1.00
15227695 sid25854 0.000125 15.206502 1.00
15227903 sid25855 0.000208 15.206710 1.00
15228362 sid25857 0.000459 15.207169 1.00
15228602 sid25858 0.000240 15.207409 1.00
15228900 sid25859 0.000298 15.207707 1.00
15229165 sid25860 0.000265 15.207972 1.00
15229930 sid25863 0.000765 15.208737 1.00
15230071 sid25864 0.000141 15.208878 1.00
15230522 sid25866 0.000451 15.209329 1.00
15230693 sid25867 0.000171 15.209500 1.00
15230957 sid25868 0.000264 15.209764 1.00
15231478 sid25870 0.000521 15.210285 1.00
15231643 sid25871 0.000165 15.210450 1.00
15232053 sid25872 0.000410 15.210860 1.00
15232297 sid25873 0.000244 15.211104 1.00
15232558 sid25874 0.000261 15.211365 1.00
15232866 sid25875 0.000308 15.211673 1.00
15233109 sid25876 0.000243 15.211916 1.00
15233281 sid25877 0.000172 15.212088 1.00
15233700 sid25878 0.000419 15.212507 1.00
15233900 sid25879 0.000200 15.212707 1.00
15234193 sid25880 0.000293 15.213000 1.00
15234540 sid25882 0.000347 15.213347 1.00
15234890 sid25883 0.000350 15.213697 1.00
15235176 sid25884 0.000286 15.213983 1.00
15235417 sid25885 0.000241 15.214224 1.00
15235651 sid25886 0.000234 15.214458 1.00
15236255 sid25888 0.000604 15.215062 1.00
15236666 sid25889 0.000411 15.215473 1.00
15236897 sid25890 0.000231 15.215704 1.00
15237430 sid25892 0.000533 15.216237 1.00
15237662 sid25893 0.000232 15.216469 1.00
15237983 sid25894 0.000321 15.216790 1.00
15238370 sid25895 0.000387 15.217177 1.00
15238609 sid25896 0.000239 15.217416 1.00
15239095 sid25898 0.000486 15.217902 1.00
15239305 sid25899 0.000210 15.218112 1.00
15239566 sid25900 0.000261 15.218373 1.00
15239747 sid25901 0.000181 15.218554 1.00
15240178 sid25903 0.000431 15.218985 1.00
15240453 sid25904 0.000275 15.219260 1.00
15240706 sid25905 0.000253 15.219513 1.00
15241025 sid25906 0.000319 15.219832 1.00
15241308 sid25907 0.000283 15.220115 1.00
15241567 sid25908 0.000259 15.220374 1.00
15241838 sid25909 0.000271 15.220645 1.00
15242027 sid25910 0.000189 15.220834 1.00
15242261 sid25911 0.000234 15.221068 1.00
15242452 sid25912 0.000191 15.221259 1.00
15242863 sid25914 0.000411 15.221670 1.00
15243264 sid25915 0.000401 15.222071 1.00
15243521 sid25916 0.000257 15.222328 1.00
15243738 sid25917 0.000217 15.222545 1.00
15243998 sid25918 0.000260 15.222805 1.00
15244197 sid25919 0.000199 15.223004 1.00
15244468 sid25920 0.000271 15.223275 1.00
15244711 sid25921 0.000243 15.223518 1.00
15245115 sid25922 0.000404 15.223922 1.00
15245394 sid25923 0.000279 15.224201 1.00
15245772 sid25924 0.000378 15.224579 1.00
15246002 sid25925 0.000230 15.224809 1.00
15246146 sid25926 0.000144 15.224953 1.00
15246698 sid25928 0.000552 15.225505 1.00
15247002 sid25929 0.000304 15.225809 1.00
15247298 sid25930 0.000296 15.226105 1.00
15247588 sid25931 0.000290 15.226395 1.00
15247707 sid25932 0.000119 15.226514 1.00
15249225 sid25937 0.001518 15.228032 1.00
15249715 sid25939 0.000490 15.228522 1.00
15250205 sid25941 0.000490 15.229012 1.00
15250437 sid25942 0.000232 15.229244 1.00
15250674 sid25943 0.000237 15.229481 1.00
15250905 sid25944 0.000231 15.229712 1.00
15251193 sid25945 0.000288 15.230000 1.00
15251430 sid25946 0.000237 15.230237 1.00
15251620 sid25947 0.000190 15.230427 1.00
15251909 sid25948 0.000289 15.230716 1.00
15252277 sid25949 0.000368 15.231084 1.00
15252557 sid25950 0.000280 15.231364 1.00
15252932 sid25951 0.000375 15.231739 1.00
15253181 sid25952 0.000249 15.231988 1.00
15253742 sid25955 0.000561 15.232549 1.00
15254045 sid25956 0.000303 15.232852 1.00
15254213 sid25957 0.000168 15.233020 1.00
15254502 sid25958 0.000289 15.233309 1.00
15254676 sid25959 0.000174 15.233483 1.00
15254915 sid25960 0.000239 15.233722 1.00
15255181 sid25961 0.000266 15.233988 1.00
15255393 sid25962 0.000212 15.234200 1.00
15255557 sid25963 0.000164 15.234364 1.00
15256026 sid25965 0.000469 15.234833 1.00
15256233 sid25966 0.000207 15.235040 1.00
15256524 sid25967 0.000291 15.235331 1.00
15256745 sid25968 0.000221 15.235552 1.00
15257146 sid25969 0.000401 15.235953 1.00
15257582 sid25970 0.000436 15.236389 1.00
15257923 sid25971 0.000341 15.236730 1.00
15258117 sid25972 0.000194 15.236924 1.00
15258527 sid25973 0.000410 15.237334 1.00
15259104 sid25975 0.000577 15.237911 1.00
15259334 sid25976 0.000230 15.238141 1.00
15259573 sid25977 0.000239 15.238380 1.00
15259755 sid25978 0.000182 15.238562 1.00
15259977 sid25979 0.000222 15.238784 1.00
15260246 sid25980 0.000269 15.239053 1.00
15260439 sid25981 0.000193 15.239246 1.00
15260915 sid25983 0.000476 15.239722 1.00
15261099 sid25984 0.000184 15.239906 1.00
15261356 sid25985 0.000257 15.240163 1.00
15261627 sid25986 0.000271 15.240434 1.00
15261817 sid25987 0.000190 15.240624 1.00
15262117 sid25988 0.000300 15.240924 1.00
15263043 sid25991 0.000926 15.241850 1.00
15263550 sid25993 0.000507 15.242357 1.00
15263815 sid25994 0.000265 15.242622 1.00
15264359 sid25995 0.000544 15.243166 1.00
15269910 sid25996 0.005551 15.248717 1.00
15270438 sid25998 0.000528 15.249245 1.00
15280526 sid25999 0.010088 15.259333 1.00
15290464 sid26000 0.009938 15.269271 1.00
15290670 sid26001 0.000206 15.269477 1.00
15290898 sid26002 0.000228 15.269705 1.00
15291144 sid26003 0.000246 15.269951 1.00
15291421 sid26004 0.000277 15.270228 1.00
15291591 sid26005 0.000170 15.270398 1.00
15291782 sid26006 0.000191 15.270589 1.00
15292434 sid26008 0.000652 15.271241 1.00
15292848 sid26009 0.000414 15.271655 1.00
15293016 sid26010 0.000168 15.271823 1.00
15293250 sid26011 0.000234 15.272057 1.00
15293515 sid26012 0.000265 15.272322 1.00
15293903 sid26013 0.000388 15.272710 1.00
15294361 sid26014 0.000458 15.273168 1.00
15294663 sid26015 0.000302 15.273470 1.00
15294846 sid26016 0.000183 15.273653 1.00
15295076 sid26017 0.000230 15.273883 1.00
15295352 sid26018 0.000276 15.274159 1.00
15295630 sid26019 0.000278 15.274437 1.00
15295834 sid26020 0.000204 15.274641 1.00
15296632 sid26023 0.000798 15.275439 1.00
15297021 sid26025 0.000389 15.275828 1.00
15297294 sid26026 0.000273 15.276101 1.00
15297662 sid26027 0.000368 15.276469 1.00
15297920 sid26028 0.000258 15.276727 1.00
15298083 sid26029 0.000163 15.276890 1.00
15298340 sid26030 0.000257 15.277147 1.00
15298798 sid26032 0.000458 15.277605 1.00
15299053 sid26033 0.000255 15.277860 1.00
15299743 sid26035 0.000690 15.278550 1.00
15299907 sid26036 0.000164 15.278714 1.00
15300151 sid26037 0.000244 15.278958 1.00
15300362 sid26038 0.000211 15.279169 1.00
15300508 sid26039 0.000146 15.279315 1.00
15300676 sid26040 0.000168 15.279483 1.00
15300936 sid26041 0.000260 15.279743 1.00
15301518 sid26043 0.000582 15.280325 1.00
15301791 sid26044 0.000273 15.280598 1.00
15302035 sid26045 0.000244 15.280842 1.00
15302258 sid26046 0.000223 15.281065 1.00
15302513 sid26047 0.000255 15.281320 1.00
15302747 sid26048 0.000234 15.281554 1.00
15303001 sid26049 0.000254 15.281808 1.00
15303253 sid26050 0.000252 15.282060 1.00
15303496 sid26051 0.000243 15.282303 1.00
15303693 sid26052 0.000197 15.282500 1.00
15304016 sid26053 0.000323 15.282823 1.00
15304476 sid26054 0.000460 15.283283 1.00
15304933 sid26055 0.000457 15.283740 1.00
15305132 sid26056 0.000199 15.283939 1.00
15305406 sid26057 0.000274 15.284213 1.00
15305654 sid26058 0.000248 15.284461 1.00
15306323 sid26060 0.000669 15.285130 1.00
15306542 sid26061 0.000219 15.285349 1.00
15306882 sid26062 0.000340 15.285689 1.00
15307168 sid26063 0.000286 15.285975 1.00
15307545 sid26064 0.000377 15.286352 1.00
15307817 sid26065 0.000272 15.286624 1.00
15308060 sid26066 0.000243 15.286867 1.00
15308359 sid26067 0.000299 15.287166 1.00
15308587 sid26068 0.000228 15.287394 1.00
15309223 sid26070 0.000636 15.288030 1.00
15309644 sid26071 0.000421 15.288451 1.00
15309878 sid26072 0.000234 15.288685 1.00
15310217 sid26073 0.000339 15.289024 1.00
15310787 sid26075 0.000570 15.289594 1.00
15311281 sid26076 0.000494 15.290088 1.00
15311607 sid26077 0.000326 15.290414 1.00
15311846 sid26078 0.000239 15.290653 1.00
15312308 sid26080 0.000462 15.291115 1.00
15312491 sid26081 0.000183 15.291298 1.00
15312824 sid26082 0.000333 15.291631 1.00
15313034 sid26083 0.000210 15.291841 1.00
15313358 sid26084 0.000324 15.292165 1.00
15313733 sid26085 0.000375 15.292540 1.00
15314123 sid26086 0.000390 15.292930 1.00
15314558 sid26087 0.000435 15.293365 1.00
15315302 sid26089 0.000744 15.294109 1.00
15315734 sid26090 0.000432 15.294541 1.00
15316031 sid26091 0.000297 15.294838 1.00
15316355 sid26092 0.000324 15.295162 1.00
15316679 sid26093 0.000324 15.295486 1.00
15317069 sid26094 0.000390 15.295876 1.00
15317520 sid26095 0.000451 15.296327 1.00
15318663 sid26098 0.001143 15.297470 1.00
15318930 sid26099 0.000267 15.297737 1.00
15319240 sid26100 0.000310 15.298047 1.00
15319425 sid26101 0.000185 15.298232 1.00
15319859 sid26103 0.000434 15.298666 1.00
15320143 sid26104 0.000284 15.298950 1.00
15320364 sid26105 0.000221 15.299171 1.00
15320762 sid26106 0.000398 15.299569 1.00
15321149 sid26107 0.000387 15.299956 1.00
15321701 sid26109 0.000552 15.300508 1.00
15321914 sid26110 0.000213 15.300721 1.00
15322259 sid26111 0.000345 15.301066 1.00
15322566 sid26112 0.000307 15.301373 1.00
15322894 sid26113 0.000328 15.301701 1.00
15323246 sid26114 0.000352 15.302053 1.00
15323559 sid26115 0.000313 15.302366 1.00
15323916 sid26116 0.000357 15.302723 1.00
15324402 sid26117 0.000486 15.303209 1.00
15325028 sid26118 0.000626 15.303835 1.00
15325478 sid26119 0.000450 15.304285 1.00
15325889 sid26120 0.000411 15.304696 1.00
15326279 sid26121 0.000390 15.305086 1.00
15326456 sid26122 0.000177 15.305263 1.00
15326643 sid26123 0.000187 15.305450 1.00
15326960 sid26124 0.000317 15.305767 1.00
15327227 sid26125 0.000267 15.306034 1.00
15327547 sid26126 0.000320 15.306354 1.00
15328180 sid26128 0.000633 15.306987 1.00
15328404 sid26129 0.000224 15.307211 1.00
15329297 sid26132 0.000893 15.308104 1.00
15329559 sid26133 0.000262 15.308366 1.00
15329757 sid26134 0.000198 15.308564 1.00
15330016 sid26135 0.000259 15.308823 1.00
15330258 sid26136 0.000242 15.309065 1.00
15330593 sid26137 0.000335 15.309400 1.00
15331043 sid26139 0.000450 15.309850 1.00
15331363 sid26140 0.000320 15.310170 1.00
15331728 sid26141 0.000365 15.310535 1.00
15332619 sid26142 0.000891 15.311426 1.00
15332999 sid26143 0.000380 15.311806 1.00
15333633 sid26145 0.000634 15.312440 1.00
15333990 sid26146 0.000357 15.312797 1.00
15334668 sid26148 0.000678 15.313475 1.00
15334985 sid26149 0.000317 15.313792 1.00
15336634 sid26152 0.001649 15.315441 1.00
15336993 sid26153 0.000359 15.315800 1.00
15337241 sid26154 0.000248 15.316048 1.00
15337418 sid26155 0.000177 15.316225 1.00
15337626 sid26156 0.000208 15.316433 1.00
15337880 sid26157 0.000254 15.316687 1.00
15338064 sid26158 0.000184 15.316871 1.00
15338326 sid26159 0.000262 15.317133 1.00
15338761 sid26161 0.000435 15.317568 1.00
15339015 sid26162 0.000254 15.317822 1.00
15339383 sid26163 0.000368 15.318190 1.00
15347853 sid26164 0.008470 15.326660 1.00
15349895 sid26167 0.002042 15.328702 1.00
15350146 sid26168 0.000251 15.328953 1.00
15350383 sid26169 0.000237 15.329190 1.00
15350587 sid26170 0.000204 15.329394 1.00
15350991 sid26172 0.000404 15.329798 1.00
15351175 sid26173 0.000184 15.329982 1.00
15351422 sid26174 0.000247 15.330229 1.00
15351764 sid26175 0.000342 15.330571 1.00
15351930 sid26176 0.000166 15.330737 1.00
15352294 sid26177 0.000364 15.331101 1.00
15352684 sid26178 0.000390 15.331491 1.00
15352905 sid26179 0.000221 15.331712 1.00
15353096 sid26180 0.000191 15.331903 1.00
15353344 sid26181 0.000248 15.332151 1.00
15353640 sid26182 0.000296 15.332447 1.00
15353901 sid26183 0.000261 15.332708 1.00
15354115 sid26184 0.000214 15.332922 1.00
15354548 sid26186 0.000433 15.333355 1.00
15354909 sid26187 0.000361 15.333716 1.00
15355113 sid26188 0.000204 15.333920 1.00
15355453 sid26189 0.000340 15.334260 1.00
15356020 sid26191 0.000567 15.334827 1.00
15356269 sid26192 0.000249 15.335076 1.00
15356551 sid26193 0.000282 15.335358 1.00
15356843 sid26194 0.000292 15.335650 1.00
15357125 sid26195 0.000282 15.335932 1.00
15357398 sid26196 0.000273 15.336205 1.00
15358003 sid26198 0.000605 15.336810 1.00
15358238 sid26199 0.000235 15.337045 1.00
15358620 sid26200 0.000382 15.337427 1.00
15358880 sid26201 0.000260 15.337687 1.00
15359079 sid26202 0.000199 15.337886 1.00
15359346 sid26203 0.000267 15.338153 1.00
15359691 sid26204 0.000345 15.338498 1.00
15360254 sid26206 0.000563 15.339061 1.00
15360519 sid26207 0.000265 15.339326 1.00
15360706 sid26208 0.000187 15.339513 1.00
15361189 sid26210 0.000483 15.339996 1.00
15361478 sid26211 0.000289 15.340285 1.00
15361846 sid26212 0.000368 15.340653 1.00
15362152 sid26213 0.000306 15.340959 1.00
15362316 sid26214 0.000164 15.341123 1.00
15362626 sid26215 0.000310 15.341433 1.00
15362879 sid26216 0.000253 15.341686 1.00
15363123 sid26217 0.000244 15.341930 1.00
15363782 sid26219 0.000659 15.342589 1.00
15363974 sid26220 0.000192 15.342781 1.00
15364250 sid26221 0.000276 15.343057 1.00
15364432 sid26222 0.000182 15.343239 1.00
15364842 sid26223 0.000410 15.343649 1.00
15365185 sid26224 0.000343 15.343992 1.00
15365814 sid26226 0.000629 15.344621 1.00
15366917 sid26230 0.001103 15.345724 1.00
15367145 sid26231 0.000228 15.345952 1.00
